tempo_s,modulante,portadora,PM,FM,AM_DSB
0.0,2.0,1.0,-0.4161468365471424,1.0,1.0
2e-05,1.9998420884076322,0.9685831611286311,-0.629083150073193,0.9665627227483266,0.9685066858739738
4e-05,1.9993683785665999,0.8763066800438636,-0.8023528057621764,0.868487620225454,0.8760299330031899
6.000000000000001e-05,1.9985789452811784,0.7289686274214116,-0.9252768493309782,0.7123351307523602,0.7284506752674765
8e-05,1.997473913212035,0.5358267949789965,-0.9903814770988956,0.5085501936234269,0.5351500224852795
0.0001,1.9960534568565431,0.30901699437494745,-0.9938349772482858,0.2707630278001501,0.3084072199247664
0.00012000000000000002,1.9943178005212279,0.0627905195293133,-0.9356536655645356,0.014876770478508907,0.06261212540064266
0.00014000000000000001,1.992267218286345,-0.1873813145857246,-0.8196672366825594,-0.2419968722348301,-0.18665682518427004
0.00016,1.9899020339626003,-0.4257792915650727,-0.6532489865001561,-0.4826826377940988,-0.4236295391522466
0.00018,1.9872226210400168,-0.6374239897486897,-0.4468307752820413,-0.6910906740910936,-0.633351685811088
0.0002,1.9842294026289558,-0.8090169943749473,-0.21323551902690363,-0.8532925160825808,-0.8026376537326375
0.00022,1.9809228513933024,-0.9297764858882513,0.033129342968899425,-0.9584520529591363,-0.9209077437920997
0.00024000000000000003,1.977303489475828,-0.9921147013144779,0.2771661586578754,-0.999549219729497,-0.9808559304346929
0.00026000000000000003,1.973371888415736,-0.9921147013144779,0.5040133861461952,-0.9738480698255164,-0.9789056308289826
0.00028000000000000003,1.9691286690584107,-0.9297764858882515,0.6999471258617304,-0.8830780400022851,-0.9154247670894694
0.00030000000000000003,1.9645745014573774,-0.8090169943749475,0.8532034923446259,-0.7333164513506586,-0.7946870791973542
0.00032,1.9597101047684937,-0.6374239897486895,0.9546731379743676,-0.5345803081076551,-0.6245831168661778
0.00034,1.954536247136387,-0.42577929156507294,0.9984277578499487,-0.3001549152242133,-0.4161005293219936
0.00036,1.9490537455731543,-0.18738131458572463,0.9820491822114947,-0.045704431494995,-0.18260812652186406
0.00038,1.943263465829348,0.06279051952931283,0.9067440033823112,0.2117759705825721,0.06100926130087891
0.0004,1.9371663222572622,0.30901699437494723,0.7772398143484444,0.45509612642218045,0.2993086572541548
0.00042,1.9307632776665478,0.535826794978996,0.6014722533190243,0.6680190451454477,0.5172773494676038
0.00044,1.9240553431721719,0.7289686274214112,0.39008437058649853,0.8363444557895492,0.7012879912975253
0.00046,1.9170435780347517,0.8763066800438636,0.15577064458308848,0.9488553837806952,0.8399590466835213
0.00048000000000000007,1.909729089493286,0.9685831611286312,-0.08749333597755203,0.9980646574670915,0.9248657192003548
0.0005,1.902113032590307,1.0,-0.32528840657240815,0.980711703137547,0.9510565162951535
0.0005200000000000001,1.8941966099894885,0.9685831611286311,-0.5436062546682519,0.8979767456481851,0.9173434701513777
0.00054,1.8859810717857288,0.8763066800438638,-0.7296702331177893,0.7553984624957607,0.82634890582106
0.0005600000000000001,1.8774677153077481,0.7289686274214116,-0.8726748351732523,0.5625009706501473,0.6843075317279513
0.00058,1.868657884913224,0.5358267949789971,-0.9644016331904995,0.33215542883626575,0.5006384826926422
0.0006000000000000001,1.8595529717765027,0.30901699437494773,-0.9996773707887422,0.0797192160565682,0.2873167351096884
0.00062,1.850154413668916,0.0627905195293142,-0.976649638397473,-0.1779895786437586,0.058086078421862475
0.00064,1.8404636947317408,-0.18738131458572502,-0.8968665500649383,-0.42381373120626237,-0.17243425328306705
0.0006600000000000001,1.830482345241835,-0.4257792915650733,-0.765158412432683,-0.6413996136051857,-0.38969073808972127
