frequencia_Hz,psd_modulante,psd_PM,psd_FM,psd_AM_DSB
2050.7812499999995,5.750504793198818e-14,1.56447265581738e-13,1.5316371653281181e-13,5.312221166694924e-13
2148.4374999999995,4.2909962052639575e-14,1.9153695835186242e-13,1.878526118833752e-13,6.514212756417265e-13
2246.0937499999995,3.247196951186808e-14,2.3618367283674853e-13,2.3203070027576964e-13,8.045034586368929e-13
2343.7499999999995,2.4888068486342413e-14,2.9346784726591436e-13,2.887716233102323e-13,1.001118809303714e-12
2441.4062499999995,1.9298126144154902e-14,3.676341909937159e-13,3.623177551670129e-13,1.2559654160486136e-12
2539.0624999999995,1.512350866151533e-14,4.646015911419348e-13,4.585959755474697e-13,1.5895741581466436e-12
2636.7187499999995,1.196817846682912e-14,5.927298183466923e-13,5.859956745168781e-13,2.030999740312771e-12
2734.3749999999995,9.556756414747844e-15,7.639908097973702e-13,7.565616739957337e-13,2.6219444312200026e-12
2832.0312499999995,7.694960645765341e-15,9.957890202318452e-13,9.878561026012156e-13,3.4231895763983567e-12
2929.6874999999995,6.243876106514347e-15,1.3138437764023112e-12,1.3059211108936855e-12,4.524820496072291e-12
3027.3437499999995,5.1029378270627045e-15,1.7568469074398997e-12,1.7500941216081397e-12,6.062826183400638e-12
3124.9999999999995,4.19850200876943e-15,2.384158229228147e-12,2.3810181191420426e-12,8.246674674460164e-12
3222.6562499999995,3.4760594115478284e-15,3.288834608629968e-12,3.2943137388230734e-12,1.1406296757928586e-11
3320.3124999999995,2.8948592351030552e-15,4.6202920408404545e-12,4.644590796921162e-12,1.6074418895662178e-11
3417.9687499999995,2.4241509592615335e-15,6.624920252351163e-12,6.688986656426666e-12,2.3135433559920302e-11
3515.6249999999995,2.0405265983596086e-15,9.721344514682067e-12,9.869003995279627e-12,3.410422095360769e-11
3613.2812499999995,1.7260206498466287e-15,1.4645228296560335e-11,1.4970763745576966e-11,5.1669582851635605e-11
3710.9374999999995,1.4667378275930706e-15,2.273997431689626e-11,2.345391356298982e-11,8.080273085031e-11
3808.5937499999995,1.2518524334066398e-15,3.6569366473208255e-11,3.8164637369148065e-11,1.3114034515193202e-10
3906.2499999999995,1.0728721116205104e-15,6.128302949978704e-11,6.498447794904908e-11,2.2243233744590637e-10
4003.9062499999995,9.230914968222867e-16,1.0786439500994134e-10,1.1695138512653285e-10,3.9793775266612676e-10
4101.562499999999,7.971835032668738e-16,2.014625710778441e-10,2.2558374969260052e-10,7.604019826550294e-10
4199.218749999999,6.908912402755411e-16,4.052970172684207e-10,4.761451511983541e-10,1.5798291379084666e-09
4296.874999999999,6.0079409498471355e-16,8.988090723544273e-10,1.1332656000507916e-09,3.6646203518503904e-09
4394.531249999999,5.241289066991057e-16,2.2067042488220397e-09,3.4372293089132937e-09,9.900338874671327e-09
4492.187499999999,4.586523608760422e-16,8.90969425833768e-09,2.0095448495518843e-08,3.3545811525597117e-08
4589.843749999999,4.025344426877716e-16,1.8455922550492015e-07,3.6597681125908157e-07,1.656511969787461e-07
4687.499999999999,3.5427545196944054e-16,8.076868598086005e-06,9.079129346362838e-06,1.7705902510121326e-06
4785.156249999999,3.1264099922951547e-16,0.00014293388306047883,0.00013483451365191377,0.0004830348557997525
4882.812499999999,2.7661081505955887e-16,0.0008187018694343227,0.0010371049794085496,0.0031661867799913754
4980.468749999999,2.4533822633102053e-16,0.0024645622983040668,0.0020413442817321195,0.0028204818708413323
5078.124999999999,2.1811791907479922e-16,0.0013639501945440632,0.0015026071340754718,0.0033947818241950377
5175.781249999999,1.9436017178730868e-16,0.0002962882327436464,0.00037017748004031193,0.0014912678270473897
5273.437499999999,1.7357016572228967e-16,2.4134242097629995e-05,2.363034137492933e-05,1.0792081010481647e-05
5371.093749999999,1.5533130086974884e-16,1.1159149427353662e-06,7.695572068350984e-07,5.121922048333757e-07
5468.749999999999,1.3929168449179506e-16,3.252046754932122e-08,4.80770516733068e-08,7.83158959806208e-08
5566.406249999999,1.251531450312847e-16,3.871144135858811e-09,8.583397976697599e-09,1.964987134724775e-08
5664.062499999999,1.1266226549884288e-16,1.3868301936402722e-09,2.517350633219263e-09,6.5301418781727916e-09
5761.718749999999,1.0160303653770658e-16,6.034464015738781e-10,9.161692131119969e-10,2.6053676488429027e-09
5859.374999999999,9.179081611444749e-17,2.8783781693224867e-10,3.973145945575248e-10,1.1826697742618963e-09
5957.031249999999,8.306734531365445e-17,1.4865145291962413e-10,1.930103253980996e-10,5.911288763649403e-10
6054.687499999999,7.52966229459512e-17,8.200847511450667e-11,1.019763754989911e-10,3.184070451201083e-10
6152.343749999999,6.836147785725612e-17,4.7754931890885384e-11,5.751083997950227e-11,1.8208866002616994e-10
6249.999999999999,6.216071512024778e-17,2.908990829179398e-11,3.4182225188366684e-11,1.0936849724766903e-10
6347.656249999999,5.660672985824726e-17,1.8408513575502454e-11,2.1215871287803322e-11,6.843867539817705e-11
6445.312499999999,5.162350808991589e-17,1.2035872607093003e-11,1.3656470755483663e-11,4.434186362861937e-11
