tempo_s,modulante_m_t,portadora_c_t,PM_s_PM,FM_s_FM,AM_DSB_s_AM
0.0,2.0,1.0,0.5403023058681398,1.0,2.0
1e-05,1.9999605217122742,0.9510565162951535,0.25384828680498356,0.9490961580123469,1.9020754865075133
2e-05,1.9998420884076322,0.8090169943749473,-0.057411662168120374,0.8015671826165496,1.6179062355880602
3.0000000000000004e-05,1.999644704761618,0.587785252292473,-0.3630170766028163,0.5724330408298054,1.1753616672836154
4e-05,1.9993683785665999,0.3090169943749473,-0.6330794354180056,0.28502179851191495,0.6178388069929625
5e-05,1.9990131207314632,-1.6081226496766366e-16,-0.8412042758047136,-0.03140559416976793,-3.2146582764490427e-16
6.000000000000001e-05,1.9985789452811784,-0.30901699437494756,-0.9670684612587532,-0.3446345410436279,-0.6175948586918425
7.000000000000001e-05,1.9980658693562494,-0.5877852522924734,-0.9984011843658728,-0.6227766870373423,-1.1744336511165432
8e-05,1.997473913212035,-0.8090169943749477,-0.9321759547361548,-0.8375164758128971,-1.6159903416091657
9e-05,1.99680310021795,-0.9510565162951536,-0.7748982107256364,-0.9669938102451374,-1.8990726002206462
0.0001,1.9960534568565431,-1.0,-0.5419617036489123,-0.998029322930332,-1.9960534568565431
0.00011,1.9952250127224505,-0.9510565162951536,-0.25613776953646694,-0.9274657244235922,-1.8975717498247673
0.00012000000000000002,1.9943178005212279,-0.8090169943749472,0.05465385862929768,-0.7624887206120111,-1.6134369928061394
0.00013000000000000002,1.9933318560680597,-0.5877852522924726,0.3600741721895936,-0.5198949066690558,-1.1716510679215872
0.00014000000000000001,1.992267218286345,-0.30901699437494673,0.6303269933574197,-0.22438126866165445,-0.6156444277865822
0.00015000000000000001,1.99112392920616,7.044813998280222e-16,0.8390648250617045,0.0939694650708708,1.4027097728782274e-15
0.00016,1.9899020339626003,0.30901699437494806,0.96595515550072,0.4027515253169289,0.6149135456357185
0.00017,1.9886015807939978,0.5877852522924737,0.9986574891266788,0.6705349921457326,1.168870681876212
0.00018,1.9872226210400168,0.8090169943749478,0.9340192135858372,0.8700650064343981,1.6076968720277003
0.00019,1.9857652091396274,0.9510565162951538,0.7783748402628026,0.981035633735774,1.8885749419844515
0.0002,1.9842294026289558,1.0,0.5469206898038503,0.992156066335213,1.9842294026289558
0.00021,1.9826152621390132,0.9510565162951536,0.26222718470819095,0.9022989392578327,1.8855791643635327
0.00022,1.9809228513933024,0.8090169943749476,-0.04796521859159172,0.7206140142835494,1.6026002513228603
0.00023,1.9791522372053019,0.5877852522924734,-0.35345092690601365,0.46559582993485615,1.1633164970709315
0.00024000000000000003,1.977303489475828,0.30901699437494684,-0.6245010113883585,0.16320039647720352,0.6110203812849146
0.00025,1.9753766811902755,3.061616997868383e-16,-0.8347553618896686,-0.1557972079721721,6.047846824324981e-16
0.00026000000000000003,1.973371888415736,-0.3090169943749488,-0.9637839337864001,-0.45893526098354986,-0.6098054497422476
0.00027,1.971289190297996,-0.5877852522924729,-0.9990684583931685,-0.7153689464329799,-1.1586947140607322
0.00028000000000000003,1.9691286690584107,-0.8090169943749482,-0.9372127319032945,-0.899008798836814,-1.5930585573791776
0.00029,1.9668904099906594,-0.9510565162951534,-0.7842648874945423,-0.9911746948271336,-1.8706239412600627
0.00030000000000000003,1.9645745014573774,-1.0,-0.5551215356711244,-0.9824954295340302,-1.9645745014573774
0.00031,1.9621810348866682,-0.9510565162951536,-0.2720729040830626,-0.8738607599720813,-1.866145059379734
0.00032,1.9597101047684937,-0.8090169943749466,0.0373685538747026,-0.676329270995951,-1.5854387788060185
0.00033000000000000005,1.9571618086509441,-0.587785252292472,0.34314426225756745,-0.4100016962606668,-1.1503908474750861
0.00034,1.954536247136387,-0.3090169943749461,0.6155698589667716,-0.1019745874150359,-0.6039849164869732
0.00035000000000000005,1.9518335238774949,1.3477304596986769e-15,0.8282159977859146,0.21641724195796408,2.6305454923907046e-15
0.00036,1.9490537455731543,0.3090169943749487,0.9604701364515539,0.5127887785159236,0.602290730332252
0.00037000000000000005,1.946197021964253,0.5877852522924742,0.9995312225393113,0.7569989535622745,1.1439459075661205
0.00038,1.943263465829348,0.8090169943749482,0.9416445829337698,0.9242157635584302,1.572133168403904
0.00039000000000000005,1.9402531929802116,0.951056516295154,0.792458298454522,0.9974406731646182,1.8452904424463092
0.0004,1.9371663222572622,1.0,0.5664676935122248,0.9692357172019984,1.9371663222572622
0.00041000000000000005,1.93400297552487,0.9510565162951532,0.28560299682893936,0.842477904223824,1.8393461324071434
0.00042,1.9307632776665478,0.8090169943749478,-0.022901840302932724,0.6300645159701251,1.5620203037473133
0.00043000000000000004,1.9274473565800194,0.5877852522924721,-0.32915176842456934,0.3535996159914917,1.1329251307678452
0.00044,1.9240553431721719,0.30901699437494795,-0.603488104863604,0.04119566885498574,0.5945657991581236
0.00045000000000000004,1.9205873713538861,-1.2252657797839415e-15,-0.8193599675757686,-0.2753859050542855,-2.3532299832051097e-15
0.00046,1.9170435780347517,-0.3090169943749469,-0.9558917671085234,-0.5639642927168422,-0.592399044570093
0.00047000000000000004,1.9134241031176609,-0.5877852522924741,-0.9998986946959451,-0.7952105171795533,-1.1246824691935153
0.00048000000000000007,1.909729089493286,-0.8090169943749481,-0.9471559382311416,-0.9456277858663136,-1.5450032880522644
0.0004900000000000001,1.9059586830344375,-0.9510565162951545,-0.802799844513319,-0.9999381289975557,-1.8126744252892328
0.0005,1.902113032590307,-1.0,-0.5808233782431595,-0.9526329840730586,-1.902113032590307
