frequencia_Hz,magnitude_PM,magnitude_FM,magnitude_AM_DSB
920.0,1.768922499705879e-12,3.917596176944715e-12,6.462743644921116e-13
930.0,3.543290619086733e-12,2.8236403705606914e-12,2.603950147797899e-13
940.0,1.047724785224303e-12,1.8267473336499837e-12,2.703988672927957e-13
950.0,1.8504314887866458e-12,1.0149088073091412e-12,6.875540789130611e-13
960.0,1.2570922950705017e-12,3.5656092830923593e-13,2.030140992631399e-13
970.0,4.617717453021502e-14,2.887980259872051e-12,8.749312050428512e-13
980.0,1.3773062106949416e-12,1.9919213819871218e-12,5.571646762642555e-13
990.0,2.9971538152106492e-12,2.924895395932292e-12,4.394148608897823e-13
1000.0,0.0006288465680101621,7.286133239112146e-09,7.761185692174538e-13
1010.0,3.2983978658464033e-12,3.0866578845385065e-12,9.986520716792194e-13
1020.0,2.2168248114660357e-12,2.2505959927390205e-12,6.90333271134128e-13
1030.0,1.2986246439102521e-12,2.321034058000414e-12,1.4939661920594205e-12
1040.0,1.4432905189374684e-12,2.414197172037562e-12,1.5348997660140156e-12
1050.0,9.015346973403844e-13,7.913754210090264e-14,1.0092375175144612e-12
1060.0,1.2587214360105726e-12,2.468730712047757e-12,1.3613800155701435e-12
1070.0,4.7535002051302275e-12,2.3743112696645697e-12,1.4490093755698504e-12
1080.0,3.3540456136446767e-12,2.956313029627549e-12,1.319030510384475e-12
1090.0,3.872448601666571e-12,3.133497962397738e-12,1.4534835889818786e-12
1100.0,0.006230858589379446,2.2878721582662888e-07,1.1519442392995371e-12
1110.0,3.829118502300738e-12,3.782952435265711e-12,5.451607579037725e-13
1120.0,2.580524281040082e-12,4.467548664544467e-13,1.526072043611951e-13
1130.0,2.476359061084751e-12,1.2107172982729991e-12,5.331135302914559e-13
1140.0,9.545666234560194e-13,2.205464917232528e-12,5.24073076271095e-13
1150.0,3.523460817898681e-13,1.6136845691929995e-12,7.59123371503744e-13
1160.0,1.8998124131045195e-12,2.3667143657930123e-12,1.1831764953836912e-12
1170.0,2.698560511413368e-12,3.259794961181572e-12,7.92881875613142e-13
1180.0,2.4328507385147217e-12,4.4620393456382955e-12,1.3138989366121245e-12
1190.0,4.877519520287428e-12,5.043080210470748e-12,2.2488705133244224e-13
1200.0,0.05544888071945109,6.461428657324286e-06,9.284190039215801e-13
1210.0,5.166559961896882e-12,3.9249099654410355e-12,4.334255985817767e-13
1220.0,5.289013602695898e-12,2.0845724039698187e-12,4.715848695329431e-13
1230.0,1.7752560963534535e-12,1.7773794350290709e-12,6.652821645575893e-13
1240.0,2.1833574919907933e-12,8.515880712648654e-13,6.681214836630393e-13
1250.0,1.9079754125281317e-12,3.93491470090518e-13,7.682994516893415e-13
1260.0,3.390477767513195e-12,1.1804259330813287e-12,5.647564499434678e-13
1270.0,3.4432764140592954e-12,1.1754099412127544e-12,1.2667243810330143e-12
1280.0,4.201558730757752e-12,2.7637008357991443e-12,1.2261837509225163e-12
1290.0,3.2036829694143442e-12,2.014350877828672e-12,1.542790449273124e-12
1300.0,0.4373601871724087,0.00016216460845584654,1.3203702237557233e-12
1310.0,3.6515274206345055e-12,2.8377396955889295e-12,1.079876693654556e-12
1320.0,2.1999358728411475e-12,3.0766186699772437e-12,8.065904013709858e-13
1330.0,1.707535235311669e-12,1.1233234904571023e-12,1.945082934380539e-13
1340.0,1.3617727399461331e-12,2.656646660994062e-12,2.493732510780798e-13
1350.0,1.3417608723865726e-12,1.8831120069590786e-12,4.841237708566721e-13
1360.0,5.142207253072558e-13,1.708877111072132e-12,1.3217436730569902e-12
1370.0,6.423770458567743e-13,6.181484827056328e-13,1.414957650056638e-12
1380.0,2.8039486338754367e-12,1.6177807358816543e-12,9.157241879054159e-13
1390.0,2.3004709380933235e-12,1.4184430003748528e-12,4.728475391768698e-13
1400.0,3.006072429472678,0.0035597246098087922,3.793395517912355e-13
1410.0,2.3514104875808006e-12,1.8263283634361267e-12,4.726663707891927e-13
1420.0,5.289760741055743e-13,1.5560031690299603e-12,4.989502991583398e-13
1430.0,9.54733758111071e-13,1.2865602235731303e-12,5.514022702002091e-13
1440.0,1.166867903423265e-13,4.065897246850522e-13,6.262347110320416e-13
1450.0,7.511692781921958e-13,5.631735420288103e-13,6.486682941705678e-13
1460.0,1.88605314579821e-12,1.119402369856525e-12,6.252373826344516e-13
1470.0,1.908543780881674e-12,9.446954914241628e-13,1.4013904414953296e-13
1480.0,1.8849207755082553e-12,9.026325125478176e-13,4.5193529941903916e-13
1490.0,3.631467813996518e-12,2.6824291861068035e-12,4.4982643252124904e-13
1500.0,17.599074389679956,0.06693706351146791,4.259172716947949e-13
1510.0,4.213836769473489e-12,2.1542015154681154e-12,5.368325455035236e-13
1520.0,3.149072051811588e-12,9.876168151132372e-13,6.033475202645066e-13
